N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,Error
12,12,3451.96268424969,287.663557020808,0.1449219,1,2490.96268424969,142,750,69,236.933812494581,
16,16,4507.06715638204,281.691697273877,0.144726,1,3661.06715638204,120,640,86,0,
14,14,3928.11381746912,280.579558390651,0.1408927,1,2846.11381746912,159,850,73,211.991954730678,
10,10,3543.96297522224,354.396297522224,0.1457174,1,2572.96297522224,146,775,50,174.189542669687,
10,10,3401.67334352983,340.167334352983,0.1437006,1,2463.67334352983,143,745,50,537.950156248475,
11,11,3959.86996602399,359.988178729453,0.1392421,1,2989.86996602399,147,765,58,0,
12,12,3606.34589645131,300.528824704276,0.1422575,1,2627.34589645131,145,765,69,276.66197801859,
10,10,3657.4100766334,365.74100766334,0.1364977,1,2514.41007663339,173,920,50,327.501592672251,
12,12,3607.48301668548,300.62358472379,0.1422524,1,2631.48301668548,146,770,60,538.540755729811,
14,14,4135.71736986298,295.408383561641,0.1394511,1,3215.71736986298,134,710,76,0,
12,12,3730.04986026098,310.837488355082,0.1422802,1,2812.04986026098,135,720,63,0,
12,12,3511.47379423829,292.622816186524,0.1384197,1,2553.47379423829,143,755,60,0,
12,12,3310.30610428996,275.858842024164,0.1410159,1,2438.30610428996,129,680,63,505.088639705262,
13,13,3553.48395744797,273.34491980369,0.1422193,1,2556.48395744797,147,785,65,296.177020487667,
12,12,3533.14917320221,294.42909776685,0.1422267,1,2505.14917320221,152,810,66,186.982167071308,
13,13,3480.45414514009,267.727241933853,0.1436128,1,2525.45414514009,142,745,68,236.018339758821,
15,15,3705.86511391153,247.057674260769,0.1441465,1,2782.86511391153,134,705,84,0,
10,10,3663.32320972231,366.332320972231,0.1393994,1,2558.32320972231,169,880,56,0,
15,15,3972.96359536594,264.864239691062,0.1418825,1,3031.96359536594,135,725,81,0,
14,14,3667.12817590719,261.937726850514,0.1447345,1,2706.12817590719,143,745,73,232.880687637393,
13,13,3764.50740871825,289.577492978327,0.1329434,1,2895.50740871825,128,670,71,42,
16,16,3554.19024836832,222.13689052302,0.1438741,1,2810.19024836832,103,555,86,0,
10,10,3764.17241185792,376.417241185792,0.1403216,1,2524.17241185792,186,995,59,60,
14,14,3359.4688130581,239.962058075578,0.1428611,1,2620.4688130581,105,555,79,196.331700745709,
15,15,3893.80641415992,259.587094277328,0.1406499,1,3064.80641415992,121,630,78,0,
15,15,4470.85884081636,298.057256054424,0.1364772,1,3624.85884081637,120,645,81,202.385672280326,
13,13,3655.58945635489,281.199188950376,0.1393664,1,2721.58945635489,138,725,71,42,
11,11,3608.01812676188,328.001647887444,0.1412248,1,2564.01812676188,156,830,58,276.255243118166,
10,10,3925.30856133346,392.530856133346,0.1371931,1,2727.30856133346,180,965,53,60,
10,10,3568.57653405322,356.857653405322,0.1396598,1,2601.57653405322,146,765,56,326.815928911311,
15,15,4573.47329998379,304.898219998919,0.144761,1,3730.47329998379,119,640,84,0,
10,10,3424.41273201346,342.441273201346,0.1369726,1,2448.41273201346,148,775,53,0,
16,16,4230.05798150427,264.378623844017,0.1452563,1,3370.05798150427,119,655,86,0,
14,14,3701.84398778854,264.417427699182,0.1401695,1,2815.84398778854,124,680,82,251.392326582715,
10,10,3582.73063538407,358.273063538407,0.1389325,1,2749.73063538407,124,650,59,696.928456017504,
13,13,3465.3602905315,266.566176194731,0.1408429,1,2583.3602905315,128,680,74,186.6564603053,
10,10,3642.09617550497,364.209617550497,0.134903,1,2817.09617550497,125,650,50,0,
12,12,4018.2996699525,334.858305829375,0.136829,1,3155.2996699525,125,675,63,314.399160884899,
12,12,3471.60691493966,289.300576244971,0.138127,1,2515.60691493966,140,750,66,309.702704191925,
16,16,3222.8966444434,201.431040277713,0.1409797,1,2480.8966444434,104,540,98,0,
12,12,3702.57342644877,308.547785537397,0.1395905,1,2719.57342644877,145,775,63,261.363590479521,
14,14,3886.97254238698,277.640895884784,0.1354849,1,3012.97254238697,124,680,70,468.549534094675,
10,10,3893.58566273567,389.358566273567,0.1414908,1,2874.58566273567,154,815,50,0,
14,14,3710.44582262132,265.031844472951,0.1433098,1,2809.44582262132,128,700,73,36,
