Trial,Channel,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
22,14,2411.59178255001,2912.88111589068,313.626466456592,501.28933334067
23,4,23,341.70764111149,341.70764111149,318.70764111149
23,19,113,515.973422752443,174.265781640953,402.973422752443
23,7,41,659.505592422684,143.532169670241,618.505592422684
23,15,89,805.286482247178,145.780889824493,716.286482247178
23,3,17,1191.83433205735,386.547849810175,1174.83433205735
23,11,65,2015.39406151475,823.559729457401,1950.39406151475
23,12,1831.82575219913,2183.07196775626,167.677906241501,351.246215557128
23,13,77,2270.31645520612,87.2444874498647,2193.31645520612
23,14,1843.82575219913,2450.66405545455,180.347600248433,606.838303255425
23,8,47,2786.10829710363,335.444241649082,2739.10829710363
24,8,47,431.748936855247,431.748936855247,384.748936855247
24,10,485.748936855247,690.820276460474,259.071339605227,205.071339605227
24,20,545.748936855247,964.832057993169,274.011781532695,419.083121137922
24,13,503.748936855247,1076.2748908385,111.442832845326,572.525953983248
24,12,1343.22572304583,1644.3055531267,568.030662288209,301.079830080879
24,7,1995.63425307109,2311.00981114102,666.70425801432,315.375558069929
24,17,101,2603.04889062661,292.039079485584,2502.04889062661
24,18,2526.84739633094,2861.31433551918,258.265444892571,334.466939188239
24,2,3004.25921128632,3273.1614396537,411.847104134526,268.902228367386
24,6,35,3661.62783972328,388.466400069576,3626.62783972328
24,14,83,3740.83837433691,79.2105346136318,3657.83837433691
24,4,23,3948.86916013838,208.030785801465,3925.86916013838
25,15,89,313.53892806083,313.53892806083,224.53892806083
25,2,325.53892806083,625.48979672066,311.95086865983,299.95086865983
25,17,101,1015.58774975719,390.097953036529,914.587749757189
25,16,1092.58774975719,1282.1506944511,266.562944693913,189.562944693913
25,5,1032.58774975719,1480.05768658101,197.906992129908,447.469936823821
25,3,17,1722.46393018228,242.406243601268,1705.46393018228
25,13,77,2153.23863738902,430.774707206748,2076.23863738902
25,11,2390.62820205281,2536.01447063589,382.775833246863,145.386268583082
25,1,5,2657.94340581201,121.928935176123,2652.94340581201
25,12,71,2748.53563764002,90.5922318280091,2677.53563764002
25,7,41,2820.32496058155,71.7893229415272,2779.32496058155
25,14,2850.32496058155,3071.59219792368,251.267237342129,221.267237342129
25,10,2844.32496058155,3243.11500091495,171.522802991269,398.790040333397
25,18,3154.50607363483,3402.95644618431,159.841445269364,248.450372549476
25,4,23,3806.55089293184,403.594446747534,3783.55089293184
26,13,77,381.395874533738,381.395874533738,304.395874533738
26,5,29,557.780113608094,176.384239074356,528.780113608094
26,2,11,675.009078841504,117.22896523341,664.009078841504
26,14,83,730.15422054951,55.1451417080065,647.15422054951
26,6,35,872.567273945882,142.413053396372,837.567273945882
26,3,17,1038.62357292799,166.05629898211,1021.62357292799
26,18,1203.7704908997,1307.21050202667,268.586929098678,103.440011126975
26,7,890.567273945882,1429.71972689741,122.509224870736,539.152452951524
26,12,920.567273945882,1587.76057524279,158.04084834538,667.193301296904
26,1,5,1885.01611715637,297.255541913583,1880.01611715637
26,20,119,2664.23524841002,779.219131253649,2545.23524841002
26,10,2503.75562511947,2825.79722731315,161.56197890313,322.041602193681
26,16,2861.79722731315,3103.4777673852,277.680540072048,241.680540072048
26,17,2867.79722731315,3145.01123512402,41.5334677388228,277.21400781087
26,8,3003.31540765031,3345.87194002615,200.860704902131,342.55653237584
26,19,2991.31540765031,3405.50077064856,59.6288306224146,414.185362998255
27,7,41,406.11796740862,406.11796740862,365.11796740862
27,2,418.11796740862,722.617588330975,316.499620922355,304.499620922355
27,6,35,952.402133945972,229.784545614997,917.402133945972
27,19,113,1118.99912868581,166.596994739833,1005.99912868581
27,5,29,1997.71288390955,878.713755223745,1968.71288390955
27,3,17,2054.01074275396,56.2978588444121,2037.01074275396
27,9,53,2159.07321601001,105.062473256051,2106.07321601001
27,8,47,2419.28493282685,260.211716816833,2372.28493282685
27,18,2126.01074275396,2489.1973274555,69.9123946286527,363.186584701537
27,12,71,2979.76082550235,490.563498046848,2908.76082550235
27,14,83,3072.93387733183,93.1730518294794,2989.93387733183
28,8,47,300.031983199775,300.031983199775,253.031983199775
28,2,11,472.253198185884,172.22121498611,461.253198185884
28,17,101,578.515964119074,106.262765933189,477.515964119074
28,5,29,794.288649599076,215.772685480002,765.288649599076
28,9,348.031983199775,1089.6995817805,295.410932181422,741.667598580723
28,16,95,1597.90689636629,508.207314585794,1502.90689636629
28,3,17,2064.07010597861,466.163209612323,2047.07010597861
28,18,1850.89404831868,2354.54886072477,290.478754746154,503.654812406088
28,12,2642.67428081654,2748.06766329541,393.51880257064,105.393382478867
28,15,655.515964119074,3538.28539310457,790.217729809162,2882.7694289855
29,1,5,377.513855972439,377.513855972439,372.513855972439
29,9,53,527.609058330889,150.09520235845,474.609058330889
29,20,635.609058330889,801.910221366199,274.30116303531,166.30116303531
29,15,605.609058330889,1051.7920166219,249.881795255702,446.182958291012
29,11,581.609058330889,1117.45763273399,65.6656161120891,535.848574403101
29,7,563.609058330889,1226.61082534336,109.153192609366,663.001767012468
29,17,1792.6850999658,1998.10692036834,771.496095024981,205.421820402535
29,10,59,2111.85600194269,113.749081574351,2052.85600194269
29,8,47,2241.2565425782,129.40054063551,2194.2565425782
29,2,11,2355.78479708684,114.528254508643,2344.78479708684
29,12,936.40891622589,2652.87104416721,297.086247080367,1716.46212794132
29,19,2869.9371649625,3185.32787704558,532.456832878377,315.390712083085
29,5,3203.32787704558,3409.62250826976,224.294631224175,206.294631224175
29,18,3233.32787704558,3594.98788615544,185.365377885681,361.660009109857
29,3,3600.98788615544,3880.27778721045,285.289901055007,279.289901055007
30,18,107,379.920039894199,379.920039894199,272.920039894199
30,1,5,501.798551760161,121.878511865962,496.798551760161
30,10,59,680.750415439116,178.951863678955,621.750415439116
30,13,887.673198509457,1053.56845155795,372.818036118834,165.895253048493
30,12,1327.69790382612,1536.85020185038,483.281750292433,209.152298024264
30,4,1291.69790382612,1718.61642665513,181.766224804748,426.918522829012
30,2,11,1923.44627710281,204.82985044768,1912.44627710281
30,14,83,1997.45374879987,74.0074716970569,1914.45374879987
30,17,101,2089.03198540942,91.5782366095536,1988.03198540942
30,8,1742.61642665513,2393.14073824317,304.108752833747,650.524311588037
30,20,1784.61642665513,2626.36441226621,233.223674023047,841.747985611084
30,19,2858.40049306982,2930.15256734923,303.788155083015,71.7520742794104
30,5,29,3199.83296173861,269.680394389385,3170.83296173861
30,16,95,3291.24613635684,91.4131746182284,3196.24613635684
30,9,53,3336.37259196843,45.1264556115852,3283.37259196843
31,14,83,357.055252223285,357.055252223285,274.055252223285
31,18,459.055252223285,708.685848481384,351.630596258099,249.630596258099
