x,y,hat,ell_pair,L,U,status,neval,time_s,dist
660.297814641709,34.1264764912421,1005.71827300024,250.912095634464,NaN,NaN,not_evaluated,0,0,661.179113719062
660.297814641709,102.379429473726,337.730369085913,127.263897746367,NaN,NaN,not_evaluated,0,0,668.187661963301
660.297814641709,170.63238245621,205.608015307095,127.263897746367,NaN,NaN,not_evaluated,0,0,681.988719821156
660.297814641709,238.885335438694,150.011716522876,102.009999723554,NaN,NaN,not_evaluated,0,0,702.18189061544
660.297814641709,307.138288421178,119.896170518691,36.3846323647678,NaN,NaN,not_evaluated,0,0,728.235629610984
660.297814641709,375.391241403662,101.335784170278,36.3846323647678,NaN,NaN,not_evaluated,0,0,759.547094091735
660.297814641709,443.644194386146,88.9728280395613,36.3846323647678,64.9776375875673,110.724042772397,pruned,20,0.0051412,795.49567895316
660.297814641709,511.897147368629,80.3068940080211,36.3846323647678,NaN,NaN,not_evaluated,0,0,835.483030051932
660.678756495932,-507.246837857518,80.7714882311965,36.3846323647678,NaN,NaN,not_evaluated,0,0,832.944040017973
661.711785202966,514.499030956582,79.8856014453734,36.3846323647678,NaN,NaN,not_evaluated,0,0,838.195525836161
662.08057490554,-407.778635998998,94.6559747344965,36.3846323647678,NaN,NaN,not_evaluated,0,0,777.582216646223
664.412891469461,320.637525018503,114.850698403303,36.3846323647678,NaN,NaN,not_evaluated,0,0,737.734988190747
671.294323419426,-196.149106170794,177.0834511768,127.263897746367,NaN,NaN,not_evaluated,0,0,699.364383212891
672.322522506287,-502.796003958809,80.0531814846129,36.3846323647678,NaN,NaN,not_evaluated,0,0,839.536417236419
677.294821262634,-498.121563475259,80.0504662088119,36.3846323647678,NaN,NaN,not_evaluated,0,0,840.74572071954
679.848287726105,335.407795072435,108.090472476201,36.3846323647678,NaN,NaN,not_evaluated,0,0,758.084482969722
681.106955097325,-499.679873129524,79.4837746451017,36.3846323647678,NaN,NaN,not_evaluated,0,0,844.74058733595
681.624660766577,-268.49698944666,130.667231070417,32.9485336484617,NaN,NaN,not_evaluated,0,0,732.60003515361
685.811037696069,172.104232383804,195.83918130648,127.263897746367,NaN,NaN,not_evaluated,0,0,707.076124777366
686.65942043709,-511.897147368629,77.6332335967391,36.3846323647678,NaN,NaN,not_evaluated,0,0,856.469409353971
686.65942043709,-443.644194386145,85.8530091208825,36.3846323647678,NaN,NaN,not_evaluated,0,0,817.509223732388
686.65942043709,-375.391241403661,97.6075690463909,36.3846323647678,NaN,NaN,not_evaluated,0,0,782.572516638287
686.65942043709,-307.138288421177,115.291464061166,36.3846323647678,NaN,NaN,not_evaluated,0,0,752.220106012389
686.65942043709,-238.885335438694,144.036001805602,102.009999723554,NaN,NaN,not_evaluated,0,0,727.026384089778
686.65942043709,-170.63238245621,197.178256414893,127.263897746367,NaN,NaN,not_evaluated,0,0,707.542627420908
686.65942043709,-102.379429473726,323.604983380743,127.263897746367,NaN,NaN,not_evaluated,0,0,694.249744151458
686.65942043709,-34.1264764912419,963.223652888133,250.912095634464,NaN,NaN,not_evaluated,0,0,687.506928017971
686.65942043709,34.1264764912421,963.223652888126,250.912095634464,NaN,NaN,not_evaluated,0,0,687.506928017971
686.65942043709,102.379429473726,323.604983380742,127.263897746367,NaN,NaN,not_evaluated,0,0,694.249744151458
