Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
36,base,,10,10,3911.61927560528,391.161927560528,0.139094083333333,1,2900.61927560528,151,810,50,0,NaN
36,optimized,,10,10,3911.61927560528,391.161927560528,0.146063375,1,2900.61927560528,151,810,50,0,1500
37,base,,11,11,4059.0871139782,369.007919452563,0.134917083333333,1,2994.0871139782,152,840,73,392.112349794007,NaN
37,optimized,,11,11,4059.0871139782,369.007919452563,0.137795416666667,1,2994.0871139782,152,840,73,392.112349794007,1500
38,base,,10,10,3763.68033846341,376.368033846341,0.141152541666667,1,2376.68033846341,211,1120,56,326.768705494346,NaN
38,optimized,,10,10,3763.68033846341,376.368033846341,0.150942541666667,1,2376.68033846341,211,1120,56,326.768705494346,1500
39,base,,12,12,4007.62811453106,333.969009544255,0.130311625,1,2835.62811453106,176,930,66,0,NaN
39,optimized,,12,12,4007.62811453106,333.969009544255,0.138407,1,2835.62811453106,176,930,66,0,1500
40,base,,10,10,4230.18015762367,423.018015762367,0.130214083333333,1,3052.18015762367,171,930,77,0,NaN
40,optimized,,10,10,4230.18015762367,423.018015762367,0.134640291666667,1,3052.18015762367,171,930,77,0,1500
41,base,,12,12,3971.33139433964,330.944282861637,0.130178416666667,1,2865.33139433964,157,865,84,0,NaN
41,optimized,,12,12,3971.33139433964,330.944282861637,0.137174375,1,2865.33139433964,157,865,84,0,1500
42,base,,15,15,4381.43280231258,292.095520154172,0.1352985,1,3382.43280231258,139,770,90,0,NaN
42,optimized,,15,15,4381.43280231258,292.095520154172,0.148000625,1,3382.43280231258,139,770,90,0,1500
43,base,,14,14,4223.24915228268,301.660653734477,0.131206916666667,1,3060.24915228268,172,915,76,0,NaN
43,optimized,,14,14,4223.24915228268,301.660653734477,0.139710541666667,1,3060.24915228268,172,915,76,0,1500
44,base,,13,13,3909.29324030911,300.714864639163,0.135655833333333,1,2693.29324030911,174,950,92,42,NaN
44,optimized,,13,13,3909.29324030911,300.714864639163,0.139801041666667,1,2693.29324030911,174,950,92,42,1500
45,base,,10,10,3744.50133357439,374.450133357439,0.130885208333333,1,2675.50133357439,157,850,62,0,NaN
45,optimized,,10,10,3744.50133357439,374.450133357439,0.143409375,1,2675.50133357439,157,850,62,0,1500
46,base,,16,16,4626.58001716812,289.161251073008,0.150270875,1,3485.58001716812,159,875,107,0,NaN
46,optimized,,16,16,4626.58001716812,289.161251073008,0.156845083333333,1,3485.58001716812,159,875,107,0,1500
47,base,,12,12,3941.20376331621,328.433646943018,0.137231666666667,1,2755.20376331621,177,940,69,0,NaN
47,optimized,,12,12,3941.20376331621,328.433646943018,0.139353708333333,1,2755.20376331621,177,940,69,0,1500
48,base,,14,14,4067.85102574942,290.56078755353,0.130728833333333,1,2854.85102574942,175,950,88,36,NaN
48,optimized,,14,14,4067.85102574942,290.56078755353,0.13757675,1,2854.85102574942,175,950,88,36,1500
49,base,,10,10,3848.5116950936,384.85116950936,0.136178416666667,1,2638.5116950936,176,960,74,377.51646706603,NaN
49,optimized,,10,10,3848.5116950936,384.85116950936,0.139556333333333,1,2638.5116950936,176,960,74,377.51646706603,1500
50,base,,16,16,4374.00485640578,273.375303525362,0.135220833333333,1,3336.00485640579,142,795,101,0,NaN
50,optimized,,16,16,4404.00485640578,275.250303525362,0.137532666666667,1,3336.00485640579,147,820,101,0,1500
51,base,,16,16,4075.12465846824,254.695291154265,0.133904958333333,1,2928.12465846824,165,890,92,0,NaN
51,optimized,,16,16,4298.29309347249,268.643318342031,0.146015458333333,1,3074.29309347249,177,955,92,0,1500
52,base,,12,12,3941.57065903862,328.464221586552,0.139281833333333,1,2714.57065903862,179,970,78,0,NaN
52,optimized,,12,12,3842.62467357295,320.218722797746,0.143764333333333,1,2663.62467357295,171,930,78,0,1500
