Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
30,optimized,,15,15,3926.52052467117,261.768034978078,0.115483541666667,1,3101.52052467117,116,625,84,235.566706359799,1200
31,base,,10,10,3503.38508895097,350.338508895097,0.104624875,1,2547.38508895097,146,760,50,242.182079513925,NaN
31,optimized,,10,10,3351.88934057994,335.188934057994,0.115546375,1,2384.88934057994,147,770,50,60,1380
32,base,,13,13,4071.33384139526,313.179526261174,0.128008291666667,1,3066.33384139526,146,785,74,442.362647147736,NaN
32,optimized,,13,13,3795.68758098904,291.975967768388,0.127943625,1,2743.68758098904,156,825,71,171.605615733425,1200
33,base,,10,10,3482.83850081825,348.283850081825,0.109972541666667,1,2475.83850081825,151,800,56,60,NaN
33,optimized,,10,10,3193.3234910183,319.33234910183,0.139384208333333,1,2035.3234910183,175,930,53,302.242987429288,1200
34,base,,10,10,3529.46280045531,352.946280045531,0.13203525,1,2524.46280045531,152,800,53,249.503810906419,NaN
34,optimized,,10,10,3021.76336875067,302.176336875067,0.127244541666667,1,2133.76336875067,135,700,53,0,1200
35,base,,13,13,3802.30703793703,292.485156764387,0.110456375,1,2737.30703793703,160,840,65,169.801274510004,NaN
35,optimized,,13,13,3849.23045276976,296.094650213058,0.115825125,1,2884.23045276976,139,755,71,185.980674796011,1200
36,base,,15,15,3817.0500842166,254.47000561444,0.109157166666667,1,3051.0500842166,105,580,81,269.791681369103,NaN
36,optimized,,15,15,3597.09222697466,239.806148464978,0.141315666666667,1,2848.09222697466,106,565,78,0,1200
37,base,,12,12,4026.91653621587,335.57637801799,0.122024,1,3047.91653621587,146,770,63,0,NaN
37,optimized,,12,12,3450.89481931449,287.574568276208,0.135090833333333,1,2583.89481931449,126,675,66,0,1200
38,base,,14,14,4141.13343638817,295.795245456297,0.110835083333333,1,3230.13343638817,133,705,73,0,NaN
38,optimized,,14,14,3322.18821309189,237.299158077992,0.114759916666667,1,2428.18821309189,130,685,79,0,1200
39,base,,12,12,3739.77105928443,311.647588273702,0.112612791666667,1,2831.77105928443,135,710,63,48,NaN
39,optimized,,12,12,3752.53063151385,312.710885959488,0.127291916666667,1,2864.53063151385,133,695,60,384.255899293144,1200
40,base,,10,10,3516.07480568352,351.607480568352,0.108465625,1,2530.07480568352,148,785,53,649.24387500243,NaN
40,optimized,,10,10,3198.47216888217,319.847216888217,0.110096833333333,1,2296.47216888217,134,715,53,236.220330278377,1200
41,base,,13,13,3721.6205405801,286.278503121546,0.10332725,1,2893.6205405801,120,640,68,350.937215246119,NaN
41,optimized,,13,13,3260.7641686631,250.828012974084,0.118082083333333,1,2277.7641686631,144,765,74,0,1200
42,base,,12,12,3234.53150603494,269.544292169578,0.106070666666667,1,2369.53150603494,127,675,63,253.848213980032,NaN
42,optimized,,12,12,2842.34830283278,236.862358569398,0.135068166666667,1,2033.34830283278,119,630,60,0,1200
43,base,,12,12,3579.79503752484,298.31625312707,0.118484333333333,1,2390.79503752484,181,945,63,0,NaN
43,optimized,,12,12,3140.6476929101,261.720641075841,0.126801166666667,1,2159.6476929101,146,775,60,0,1200
44,base,,15,15,3735.48430932096,249.032287288064,0.120960166666667,1,2751.48430932096,145,755,84,0,NaN
44,optimized,,15,15,3530.38692063214,235.359128042143,0.118066416666667,1,2704.38692063214,115,630,81,0,1200
45,base,,14,14,3667.18745397378,261.941960998127,0.138912875,1,2634.18745397378,153,810,70,0,NaN
45,optimized,,14,14,3497.63031651582,249.830736893987,0.164959708333333,1,2674.63031651582,116,625,82,0,1260
46,base,,10,10,3801.17137891712,380.117137891712,0.124437041666667,1,2845.17137891712,143,760,53,274.592413813687,NaN
46,optimized,,10,10,3482.8410673001,348.28410673001,0.113512708333333,1,2581.8410673001,133,715,53,597.775579944013,1260
47,base,,12,12,3454.68146902672,287.890122418893,0.116584291666667,1,2538.68146902672,136,720,60,528.875151564807,NaN
47,optimized,,12,12,3142.61516996729,261.884597497274,0.126135375,1,2104.61516996729,154,815,69,141.975215820492,1200
48,base,,15,15,3888.70118068152,259.246745378768,0.103195791666667,1,3132.70118068152,108,570,78,30,NaN
48,optimized,,15,15,3506.7908469294,233.78605646196,0.147238791666667,1,2580.7908469294,136,715,75,0,1200
49,base,,10,10,3495.488505176,349.5488505176,0.132758333333333,1,2489.488505176,151,805,50,392.810447282712,NaN
49,optimized,,10,10,3099.03249160699,309.903249160699,0.448461958333333,1,2163.03249160699,141,745,50,199.47790436175,1200
50,base,,11,11,3816.30328852016,346.936662592742,0.225386708333333,1,2768.30328852016,158,835,55,189.567142338649,NaN
50,optimized,,11,11,3564.01780999743,324.001619090675,0.168870875,1,2661.01780999743,135,710,58,0,1320
51,base,,13,13,3812.30791609218,293.254455084014,0.151106041666667,1,2711.30791609218,163,870,68,469.347584127248,NaN
51,optimized,,13,13,3867.99438615292,297.53802970407,0.214313208333333,1,3107.99438615292,109,580,71,0,1260
52,base,,12,12,3922.56990711168,326.88082559264,0.168257541666667,1,2975.56990711168,139,745,63,0,NaN
52,optimized,,12,12,3550.1431591077,295.845263258975,0.14453175,1,2620.1431591077,137,730,63,0,1260
53,base,,16,16,4465.63341756911,279.10208859807,0.257863916666667,1,3573.63341756911,127,685,80,0,NaN
53,optimized,,16,16,3886.9331232883,242.933320205519,0.226221875,1,3028.9331232883,118,645,95,0,1200
54,base,,16,16,4328.43544435458,270.527215272161,0.168562125,1,3292.43544435458,146,795,95,0,NaN
54,optimized,,16,16,3786.41372796976,236.65085799811,0.149634708333333,1,2968.41372796976,112,620,86,0,1200
55,base,,12,12,3495.72573245493,291.310477704578,0.115434208333333,1,2568.72573245493,137,730,60,270.916163343667,NaN
55,optimized,,12,12,3080.67630885476,256.723025737897,0.137209666666667,1,2405.67630885476,97,515,63,0,1200
56,base,,13,13,3834.41958071449,294.955352362653,0.107168666666667,1,2978.41958071449,126,665,65,0,NaN
56,optimized,,13,13,3737.40043263152,287.492340971656,0.12199825,1,2877.40043263152,124,665,71,0,1200
57,base,,14,14,3627.96846430195,259.140604592997,0.110806791666667,1,2742.96846430195,130,685,70,0,NaN
57,optimized,,14,14,3589.56568735544,256.397549096817,0.145725458333333,1,2825.56568735544,108,580,76,0,1200
58,base,,12,12,3718.11872297116,309.843226914263,0.159436541666667,1,2695.11872297116,153,810,60,275.338137492213,NaN
58,optimized,,12,12,3601.2752811644,300.106273430367,0.130460708333333,1,2619.2752811644,146,770,66,239.438172735224,1200
59,base,,11,11,3475.35155490723,315.941050446112,0.111629375,1,2559.35155490723,138,720,58,0,NaN
59,optimized,,11,11,3601.07397989517,327.370361808652,0.109569916666667,1,2679.07397989517,134,730,58,0,1260
60,base,,10,10,3724.74971313503,372.474971313503,0.10347975,1,2620.74971313503,169,885,50,176.712189252481,NaN
60,optimized,,10,10,3495.58632634531,349.558632634531,0.113812916666667,1,2440.58632634531,159,840,56,213.507862096758,1260
61,base,,16,16,4046.0524992814,252.878281205087,0.112599208333333,1,3190.0524992814,120,650,86,0,NaN
61,optimized,,16,16,3695.11252684474,230.944532927796,0.144188208333333,1,2879.11252684474,115,615,86,0,1200
62,base,,16,16,3899.6876788823,243.730479930144,0.134854166666667,1,2931.6876788823,140,745,83,0,NaN
62,optimized,,16,16,3887.51255287655,242.969534554784,0.119080083333333,1,2953.51255287655,133,715,86,0,1200
63,base,,13,13,4048.2363116992,311.402793207631,0.114619458333333,1,3149.2363116992,131,700,68,0,NaN
63,optimized,,13,13,3426.44080267532,263.572369436563,0.113576916666667,1,2341.44080267532,158,850,77,105.26500938347,1200
64,base,,14,14,3576.30388494,255.450277495714,0.117437458333333,1,2801.30388494,112,590,73,0,NaN
64,optimized,,14,14,3631.66770583941,259.404836131387,0.11938125,1,2823.66770583941,112,620,76,0,1260
65,base,,16,16,3824.41811152909,239.026131970568,0.116564041666667,1,2896.41811152909,137,705,86,0,NaN
65,optimized,,16,16,3962.42078666559,247.651299166599,0.1299345,1,3064.42078666559,130,685,83,0,1200
66,base,,11,11,3719.3052055917,338.118655053791,0.134678833333333,1,2729.3052055917,149,780,61,284.73314531263,NaN
66,optimized,,11,11,3162.82102324637,287.529183931488,0.172987333333333,1,2356.82102324637,120,625,61,0,1200
67,base,,15,15,3829.57792904735,255.305195269823,0.185885958333333,1,3076.57792904735,107,565,81,0,NaN
67,optimized,,15,15,3518.22080495842,234.548053663894,0.220475583333333,1,2745.22080495842,110,585,78,0,1200
68,base,,11,11,3623.45057252467,329.404597502243,0.1519875,1,2774.45057252467,126,665,58,310.192932178879,NaN
68,optimized,,11,11,3299.85472862362,299.986793511238,0.194297791666667,1,2436.85472862362,129,670,64,286.293106741448,1200
69,base,,12,12,3138.06182255639,261.505151879699,1.24015279166667,1,2305.06182255639,122,645,66,0,NaN
69,optimized,,12,12,2999.86062154229,249.988385128525,0.416536083333333,1,2175.86062154229,121,640,63,535.265658188358,1200
70,base,,16,16,4297.41608251513,268.588505157195,0.139085208333333,1,3392.41608251513,129,690,86,0,NaN
70,optimized,,16,16,3312.94795975571,207.059247484732,0.187250916666667,1,2595.94795975571,99,535,83,0,1200
71,base,,15,15,4289.73153397183,285.982102264788,0.163408833333333,1,3445.73153397183,120,640,84,220.730413940276,NaN
71,optimized,,15,15,3368.68719147347,224.579146098231,0.130131125,1,2540.68719147347,120,630,78,0,1200
72,base,,12,12,3994.24846298399,332.854038582,0.16091925,1,3196.24846298399,115,620,63,0,NaN
72,optimized,,12,12,3444.13299789476,287.011083157897,0.13436975,1,2544.13299789476,134,700,66,0,1200
73,base,,11,11,3518.48056119229,319.8618691993,0.111550833333333,1,2588.48056119229,137,735,58,258.643543643798,NaN
73,optimized,,11,11,3579.01142724406,325.364675204005,0.109534333333333,1,2633.01142724406,141,750,55,205.77631494552,1200
74,base,,13,13,3662.57595556919,281.736611966861,0.106661708333333,1,2842.57595556919,120,635,65,42,NaN
74,optimized,,13,13,3736.82334731047,287.447949793113,0.143373291666667,1,2943.82334731047,113,615,65,0,1200
75,base,,10,10,3392.09548381179,339.209548381179,0.133073375,1,2511.09548381179,131,700,50,658.393335225871,NaN
75,optimized,,10,10,3278.42865535082,327.842865535082,0.239443083333333,1,2325.42865535082,142,755,56,279.969996819661,1200
76,base,,12,12,3469.42991881368,289.11915990114,0.164191458333333,1,2690.42991881368,111,605,63,48,NaN
76,optimized,,12,12,3079.65222780008,256.637685650007,0.125963708333333,1,2255.65222780008,120,635,69,291.262859772,1200
77,base,,15,15,3726.70672980613,248.447115320408,0.108216875,1,2919.70672980613,113,610,84,166.158582715139,NaN
77,optimized,,15,15,3383.04682358691,225.536454905794,0.139821583333333,1,2322.04682358691,156,815,90,0,1200
78,base,,14,14,3771.2116609967,269.372261499765,0.110288916666667,1,2846.2116609967,135,720,70,310.827511351462,NaN
78,optimized,,14,14,3526.4792701889,251.891376442064,0.123695,1,2566.4792701889,142,745,73,0,1200
79,base,,16,16,3516.96587464829,219.810367165518,0.125402208333333,1,2725.96587464829,110,595,86,0,NaN
79,optimized,,16,16,3291.14904628899,205.696815393062,0.12352075,1,2488.14904628899,113,610,80,0,1200
80,base,,10,10,3531.88821151704,353.188821151704,0.105205458333333,1,2502.88821151704,153,820,56,339.931533332734,NaN
80,optimized,,10,10,3099.98601062552,309.998601062552,0.117162666666667,1,2082.98601062552,154,810,53,336.009227857328,1200
