Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
28,optimized,,12,12,3461.53918751953,288.461598959961,0.149515125,1,2510.53918751953,139,740,72,231.889716137607,1200
29,base,,11,11,3660.39573486784,332.763248624349,0.144936375,1,2718.39573486783,139,730,73,0,NaN
29,optimized,,11,11,3088.83124032192,280.802840029265,0.153891583333333,1,2215.83124032192,128,675,70,0,1200
30,base,,14,14,4398.40238970193,314.171599264423,0.147532291666667,1,3381.40238970193,147,785,85,0,NaN
30,optimized,,14,14,4344.07474923334,310.291053516667,0.1484075,1,3326.07474923334,146,790,82,0,1320
31,base,,16,16,3626.64421911057,226.665263694411,0.142410041666667,1,2756.64421911057,121,645,104,0,NaN
31,optimized,,16,16,3634.45050664449,227.153156665281,0.147140375,1,2827.45050664449,110,605,92,0,1200
32,base,,12,12,3520.21449821306,293.351208184421,0.136207416666667,1,2539.21449821306,145,770,66,981.028374961882,NaN
32,optimized,,12,12,3373.06189092092,281.088490910076,0.147511208333333,1,2484.06189092092,125,680,84,159.40305418044,1260
33,base,,10,10,3610.66888680857,361.066888680857,0.133518458333333,1,2680.66888680857,139,735,56,310.016000465331,NaN
33,optimized,,10,10,3105.75247518868,310.575247518868,0.145638041666667,1,2221.75247518868,132,690,62,245.748291085558,1200
34,base,,10,10,3700.13172917915,370.013172917915,0.13443175,1,2609.13172917915,162,870,59,409.504778031795,NaN
34,optimized,,10,10,3442.50208849389,344.250208849389,0.136393375,1,2353.50208849388,162,865,62,400.32198717657,1320
35,base,,16,16,4456.19204176632,278.512002610395,0.13616775,1,3600.19204176632,116,645,95,0,NaN
35,optimized,,16,16,4216.34305082996,263.521440676873,0.147010541666667,1,3428.34305082996,105,585,98,0,1260
36,base,,12,12,3770.36000314143,314.196666928452,0.139354583333333,1,2458.36000314142,198,1045,69,251.605103264842,NaN
36,optimized,,12,12,3838.02274675086,319.835228895905,0.144879875,1,2502.02274675086,198,1060,78,236.935362504977,1380
37,base,,11,11,4324.62310845881,393.147555314438,0.140569916666667,1,3163.62310845881,171,920,70,0,NaN
37,optimized,,11,11,3826.12740612698,347.829764193362,0.146383875,1,2625.12740612698,179,955,67,0,1380
38,base,,14,14,3980.186999473,284.299071390929,0.140809291666667,1,2896.186999473,157,845,82,0,NaN
38,optimized,,14,14,3759.78373630691,268.555981164779,0.138587041666667,1,2776.78373630691,137,755,91,218.10781537302,1320
39,base,,15,15,4038.1522210346,269.210148068973,0.151541791666667,1,3201.1522210346,117,630,90,0,NaN
39,optimized,,15,15,3995.40894755231,266.360596503487,0.147898333333333,1,3114.40894755231,121,670,90,0,1200
40,base,,14,14,3702.77182638042,264.483701884316,0.140272125,1,2745.77182638042,135,740,82,0,NaN
40,optimized,,14,14,3483.86537055116,248.84752646794,0.147638791666667,1,2622.86537055116,120,650,91,0,1320
41,base,,12,12,3840.35054361694,320.029211968078,0.143191083333333,1,2585.35054361694,184,990,81,139.877560028536,NaN
41,optimized,,12,12,3882.60138063841,323.550115053201,0.158843,1,2651.60138063842,182,980,69,127.313834188821,1380
42,base,,13,13,4372.81772518208,336.370594244775,0.141450541666667,1,3310.81772518208,150,835,77,324.525606621125,NaN
42,optimized,,13,13,4132.94994283198,317.91922637169,0.149110541666667,1,3095.94994283198,143,805,89,314.362047572615,1440
43,base,,10,10,3715.55563602515,371.555563602515,0.128738916666667,1,2667.55563602515,160,835,53,334.286096128138,NaN
43,optimized,,10,10,4358.30066013011,435.830066013011,0.135228,1,3533.30066013011,121,645,59,0,1440
44,base,,14,14,3840.94311964134,274.353079974381,0.146204458333333,1,2622.94311964134,174,950,94,438.164474658377,NaN
44,optimized,,14,14,3794.52947960539,271.037819971814,0.140820083333333,1,2640.5294796054,162,895,97,422.154310561665,1380
45,base,,13,13,4043.20875364609,311.016057972776,0.132778375,1,3152.20875364609,130,690,71,0,NaN
45,optimized,,13,13,3694.14566816236,284.165051397105,0.148701333333333,1,2603.14566816236,155,835,101,0,1200
46,base,,15,15,3946.37741361636,263.091827574424,0.139442625,1,3196.37741361636,105,555,90,0,NaN
46,optimized,,15,15,3640.10779019269,242.673852679513,0.13777075,1,2891.10779019269,104,555,90,0,1200
47,base,,14,14,4598.22661777503,328.444758412502,0.135394333333333,1,3710.22661777503,123,680,85,0,NaN
47,optimized,,14,14,3564.26088235742,254.59006302553,0.145511875,1,2691.26088235742,120,665,88,235.871863193325,1200
48,base,,10,10,3495.36064419138,349.536064419138,0.136896083333333,1,2357.36064419138,170,900,68,354.712278162208,NaN
48,optimized,,10,10,3325.31957431451,332.531957431451,0.211810708333333,1,2214.31957431451,170,885,56,322.606223405915,1320
49,base,,14,14,4591.47416730062,327.962440521473,0.13261325,1,3479.47416730062,162,865,85,0,NaN
49,optimized,,14,14,4383.22420650008,313.087443321434,0.151120083333333,1,3278.22420650008,163,860,82,0,1260
50,base,,12,12,3774.17463319468,314.514552766224,0.138784583333333,1,2842.17463319468,135,725,72,187.927778496174,NaN
50,optimized,,12,12,3627.14283857994,302.261903214995,0.143276916666667,1,2714.14283857994,134,710,69,171.257036947287,1380
51,base,,13,13,3588.44549702275,276.03426900175,0.149671,1,2680.44549702275,126,690,92,318.818153050137,NaN
51,optimized,,13,13,3600.70879507519,276.977599621168,0.143056416666667,1,2754.70879507519,118,645,83,284.116137967072,1320
52,base,,12,12,4112.74016302016,342.728346918346,0.141763666666667,1,3092.74016302016,148,800,72,0,NaN
52,optimized,,12,12,4232.2954201701,352.691285014175,0.144565625,1,3201.2954201701,149,810,72,0,1380
53,base,,15,15,4818.97831985942,321.265221323961,0.140909916666667,1,3690.97831985942,160,875,93,0,NaN
53,optimized,,15,15,4491.32286103293,299.421524068862,0.139203583333333,1,3638.32286103293,115,645,93,0,1200
54,base,,11,11,3634.70960107416,330.428145552197,0.134895583333333,1,2760.70960107416,128,685,61,0,NaN
54,optimized,,11,11,3852.79312104652,350.253920095138,0.151604208333333,1,2966.79312104652,129,690,67,0,1260
55,base,,11,11,3931.17656023356,357.37968729396,0.1440525,1,2840.17656023356,158,860,73,516.068701616,NaN
55,optimized,,11,11,3341.8248473156,303.802258846872,0.138915875,1,2568.8248473156,114,595,64,0,1260
56,base,,12,12,3713.98310280688,309.498591900573,0.130271583333333,1,2924.98310280688,113,610,66,627.793065523848,NaN
56,optimized,,12,12,3614.50531778129,301.208776481775,0.140776083333333,1,2822.50531778129,113,610,69,643.560389088083,1260
57,base,,14,14,3753.9289616962,268.1377829783,0.133881291666667,1,2903.9289616962,123,645,82,0,NaN
57,optimized,,14,14,3665.36328102075,261.811662930054,0.139669458333333,1,2865.36328102075,109,600,91,36,1200
58,base,,15,15,4076.36065718619,271.757377145746,0.147627625,1,3246.36065718619,114,620,96,0,NaN
58,optimized,,15,15,3771.60033832723,251.440022555148,0.197568291666667,1,2898.60033832722,122,655,96,0,1260
59,base,,16,16,3829.32233743479,239.332646089674,0.143880958333333,1,3029.32233743479,117,600,83,0,NaN
59,optimized,,16,16,3750.56143037115,234.410089398197,0.156674666666667,1,2857.56143037115,120,660,113,0,1200
60,base,,16,16,4228.11444389796,264.257152743622,0.21160725,1,3127.11444389796,160,855,86,0,NaN
60,optimized,,16,16,4409.93557944201,275.620973715126,0.1474775,1,3577.93557944201,113,615,104,0,1260
61,base,,15,15,3975.34111025408,265.022740683605,0.15337975,1,2985.34111025408,144,765,81,0,NaN
61,optimized,,15,15,3565.31692510926,237.687795007284,0.158313375,1,2772.31692510926,111,595,87,0,1200
62,base,,15,15,4207.07006606423,280.471337737615,0.15252725,1,2971.07006606423,179,970,87,0,NaN
62,optimized,,15,15,3686.44480754068,245.762987169379,0.147041625,1,2823.44480754068,120,650,93,0,1260
63,base,,11,11,3937.1604253415,357.923675031045,0.139271208333333,1,2870.1604253415,157,840,70,163.234284487037,NaN
63,optimized,,11,11,3962.96748657631,360.269771506937,0.137832333333333,1,2837.96748657631,168,890,67,182.837059031454,1380
64,base,,12,12,3791.31881591722,315.943234659769,0.135658208333333,1,2909.31881591722,131,685,66,0,NaN
64,optimized,,12,12,3922.92737823738,326.910614853115,0.160753458333333,1,2973.92737823738,137,740,72,256.717776411833,1200
65,base,,15,15,4572.08826725724,304.805884483816,0.148056875,1,3709.08826725724,118,655,90,30,NaN
65,optimized,,15,15,4545.6853550426,303.045690336173,0.137633,1,3719.6853550426,116,635,75,30,1320
66,base,,13,13,3916.10262689584,301.238663607372,0.133572583333333,1,2940.10262689584,139,760,77,369.591385290526,NaN
66,optimized,,13,13,3328.25030060213,256.019253892472,0.139230416666667,1,2411.25030060213,131,700,86,296.605909610437,1260
67,base,,11,11,3573.30728399252,324.846116726593,0.129534708333333,1,2613.30728399252,145,760,55,306.883776019721,NaN
67,optimized,,11,11,3685.80894809907,335.073540736279,0.140812041666667,1,2746.80894809907,133,730,76,281.117228774888,1200
68,base,,16,16,4626.46570006509,289.154106254068,0.147268958333333,1,3634.46570006509,138,750,104,0,NaN
68,optimized,,16,16,4146.28193807044,259.142621129403,0.143937291666667,1,3329.28193807044,105,590,122,0,1200
69,base,,15,15,4713.89414418662,314.259609612441,0.136319666666667,1,3582.89414418662,165,885,81,30,NaN
69,optimized,,15,15,5003.84200768812,333.589467179208,0.14040175,1,3919.84200768812,155,845,84,0,1320
70,base,,12,12,3446.98148103087,287.248456752572,0.138307833333333,1,2666.98148103087,114,600,66,0,NaN
70,optimized,,12,12,3596.11914357964,299.676595298304,0.142852916666667,1,2772.11914357964,115,625,84,0,1320
71,base,,14,14,4273.42987443168,305.244991030834,0.140038291666667,1,3211.42987443168,153,830,79,0,NaN
71,optimized,,14,14,3987.2138583745,284.800989883893,0.153273791666667,1,3166.2138583745,113,620,88,0,1260
72,base,,14,14,4286.79919012596,306.199942151854,0.138551416666667,1,3362.79919012596,131,705,88,0,NaN
72,optimized,,14,14,3858.63303840692,275.616645600495,0.146059333333333,1,3060.63303840692,112,610,76,0,1200
73,base,,13,13,4442.26227341422,341.712482570325,0.139391333333333,1,3523.26227341422,133,715,71,0,NaN
73,optimized,,13,13,3928.54458314352,302.195737164886,0.13930275,1,3005.54458314352,131,715,77,0,1320
74,base,,16,16,3517.52048079428,219.845030049643,0.139545,1,2686.52048079428,110,620,101,0,NaN
74,optimized,,16,16,4018.63087263282,251.164429539551,0.141817916666667,1,3223.63087263282,100,585,110,0,1200
75,base,,12,12,3918.61145111975,326.550954259979,0.140025208333333,1,3066.61145111974,126,660,66,0,NaN
75,optimized,,12,12,3764.59422378411,313.716185315342,0.146653833333333,1,2918.59422378411,125,655,66,0,1380
76,base,,10,10,3383.06747247909,338.306747247909,0.135119291666667,1,2517.06747247909,126,690,50,980.960784552976,NaN
76,optimized,,10,10,3009.69424420106,300.969424420107,0.149598958333333,1,2129.69424420107,126,695,59,837.392320094841,1260
77,base,,10,10,3708.20431384658,370.820431384658,0.146025958333333,1,2477.20431384658,184,985,62,389.688231258179,NaN
77,optimized,,10,10,3628.11455078446,362.811455078446,0.143475041666667,1,2542.11455078446,157,855,74,364.121809224243,1260
78,base,,13,13,3782.8877509146,290.99136545497,0.132426208333333,1,2792.8877509146,145,765,80,42,NaN
78,optimized,,13,13,3511.76603647604,270.135848959696,0.147420625,1,2638.76603647604,121,660,92,0,1200
79,base,,12,12,3971.31270132928,330.942725110774,0.136436916666667,1,3036.31270132929,132,725,78,385.941982134762,NaN
79,optimized,,12,12,3781.85632593947,315.154693828289,0.137582333333333,1,2920.85632593947,124,665,72,317.188961591995,1320
80,base,,16,16,3902.84580057847,243.927862536155,0.130754458333333,1,3122.84580057847,108,580,92,0,NaN
80,optimized,,16,16,3634.62380976283,227.163988110177,0.153386375,1,2867.62380976283,107,565,95,0,1200
