N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,Error
14,8,14,7148.70679644724,510.621914031945,0.135306916666667,1,4775.70679644724,333,1790,250,0,25,0,8,44,2874.13114158406,1901.57565486317,
14,6,14,7006.59534634386,500.471096167419,0.12151375,1,4882.59534634386,298,1615,211,0,25,0,6,53,3196.10136177418,1686.49398456968,
11,1,11,6545.82542300427,595.075038454934,0.118377375,1,4536.82542300427,288,1555,166,1230.46720348767,25,0,4,37,3502.96233911578,1033.86308388848,
11,7,11,6989.84163802385,635.440148911259,0.114990708333333,1,4651.84163802385,342,1830,166,374.378713687413,25,0,7,36,3282.22788609344,1369.61375193041,
15,6,15,6953.35098272858,463.556732181905,0.139300958333333,1,4806.35098272858,307,1660,180,0,25,0,6,51,3056.52354397319,1749.82743875539,
16,15,16,6738.7283857346,421.170524108413,0.174853333333333,1,4608.7283857346,291,1555,284,0,21,0,10,44,2206.98934927833,2401.73903645627,
12,7,12,6854.67857689161,571.223214740967,0.119247083333333,1,4476.67857689161,352,1885,141,321.008053661933,25,0,4,41,2614.21612782937,1862.46244906224,
12,7,12,7324.60052808974,610.383377340811,0.121774708333333,1,5092.60052808974,316,1715,201,0,25,0,7,36,3134.80294908053,1957.79757900921,
14,1,14,6289.62769924175,449.25912137441,0.133185291666667,1,4227.62769924175,306,1650,106,149.949896782558,25,0,3,46,2718.53028641654,1509.09741282521,
11,10,11,7073.70206958483,643.063824507712,0.115841125,1,4536.70206958483,378,2005,154,0,25,0,4,43,3195.13451127712,1341.56755830771,
12,9,12,6763.72913821347,563.644094851123,0.11495625,1,4691.72913821347,289,1585,198,110.371214336266,25,0,9,39,3186.45809772351,1505.27104048996,
12,8,12,7089.91822303496,590.826518586247,0.126671208333333,1,4914.91822303496,322,1730,123,0,25,0,5,42,3029.56659552891,1885.35162750606,
11,2,11,6571.78141798036,597.434674361851,0.131128166666667,1,4202.78141798036,344,1835,190,1353.21683522445,25,0,5,42,3016.21042747165,1186.57099050871,
16,4,16,6659.19175106888,416.199484441805,0.1244345,1,4719.19175106888,264,1425,251,0,23,0,7,59,2653.43976988449,2065.75198118439,
14,3,14,6539.14795809012,467.081997006437,0.1107945,1,4484.14795809012,285,1550,220,393.546212817779,25,0,7,48,2523.25818668801,1960.88977140211,
13,12,13,7026.22476960527,540.478828431174,0.115536541666667,1,4605.22476960526,344,1850,227,395.663780781784,25,0,8,37,3093.9811910196,1511.24357858566,
15,2,15,5867.02755424225,391.135170282816,0.119738541666667,1,4171.02755424225,233,1280,183,766.932550468521,25,0,6,51,2980.68956133867,1190.33799290358,
13,9,13,7223.38557449407,555.645044191852,0.111992666666667,1,4963.38557449407,318,1715,227,356.417554752191,25,0,9,34,2995.24528005633,1968.14029443774,
11,4,11,6897.36127345871,627.032843041701,0.11611425,1,4461.36127345872,366,1940,130,0,25,0,4,44,3019.91759995992,1441.44367349879,
13,6,13,6831.2366218382,525.4797401414,0.121118916666667,1,4444.2366218382,344,1840,203,337.148765570195,25,0,5,38,2720.18949477115,1724.04712706705,
15,3,15,6818.40942525632,454.560628350421,0.147904666666667,1,4904.40942525632,265,1445,204,933.479993779622,25,0,6,50,2929.25502855767,1975.15439669865,
14,1,14,6641.57946355234,474.398533110881,0.124911666666667,1,4418.57946355234,327,1760,136,0,25,0,2,58,2966.23434245113,1452.34512110121,
14,3,14,6774.88892975707,483.92063783979,0.112151916666667,1,4721.88892975706,296,1600,157,564.760354671593,25,0,5,56,3089.93995340156,1631.94897635551,
11,3,11,6757.79836043985,614.345305494532,0.118166416666667,1,4307.79836043984,358,1905,187,0,25,0,6,41,3290.25903101664,1017.53932942321,
11,9,11,6871.97554560459,624.725049600417,0.120181416666667,1,4472.97554560459,358,1905,136,461.080034942827,25,0,4,35,2948.92948958116,1524.04605602342,
15,2,15,6614.93809902193,440.995873268129,0.117280375,1,4962.93809902193,225,1250,177,553.912412901476,25,0,5,49,2981.49243714937,1981.44566187256,
10,8,10,6541.68528845869,654.168528845869,0.125464125,1,4061.68528845869,363,1935,182,310.796112778909,25,0,4,33,3067.30188434346,994.383404115227,
10,5,10,6551.37833486297,655.137833486297,0.1134035,1,4345.37833486298,326,1740,140,896.489608772135,25,0,4,34,3050.94202616901,1294.43630869396,
11,7,11,6996.67835460193,636.061668600176,0.113063958333333,1,4856.67835460193,307,1670,163,1739.36738386707,25,0,5,30,3182.02516944722,1674.65318515472,
11,8,11,7437.39372194463,676.126701994966,0.117363541666667,1,5108.39372194463,335,1810,184,926.981497933701,25,0,7,31,2978.34581758934,2130.04790435528,
11,9,11,7046.53301478833,640.593910435303,0.131372541666667,1,4807.53301478833,328,1775,136,0,25,0,5,39,3047.22180750372,1760.31120728461,
