Trial,Channel,IsDirectional,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
8,7,1,2436.20526313471,7040.69252698526,163.404291244751,4604.48726385054
8,1,0,320,7422.38909578674,381.696568801487,7102.38909578674
8,20,1,645.351237138958,7708.64062142717,286.251525640429,7063.28938428821
9,14,0,83,288.911362735096,288.911362735096,205.911362735096
9,2,1,1174.12568173264,1439.11287024397,1150.20150750888,264.987188511329
9,11,0,2061.40395632922,2430.47872730258,991.365857058612,369.074770973363
9,4,1,3653.97125620139,4169.35025963789,1738.8715323353,515.379003436495
9,20,0,3139.86845870649,4600.26077629815,430.910516660266,1460.39231759166
9,18,0,3030.51722156753,4669.5252923374,69.2645160392512,1639.00807076987
9,12,1,4475.79254422223,4867.31539295138,197.790100613979,391.522848729152
9,9,0,2789.16598442857,4906.05360526697,38.7382123155885,2116.8876208384
9,17,0,2625.81474728961,5694.96060137825,788.906996111282,3069.14585408864
9,16,0,2085.40395632922,6045.66137284239,350.70077146414,3960.25741651317
9,8,1,6105.63979203848,6309.80737341988,264.146000577484,204.167581381399
9,5,0,883.374121376698,6773.83268858687,464.025315166991,5890.45856721017
9,1,1,6640.29578686043,7103.75545255809,329.922763971222,463.459665697664
9,6,1,2771.16598442857,7586.82264460478,483.067192046694,4815.65666017621
10,5,0,29,329.382706918329,329.382706918329,300.382706918329
10,10,0,419.377498648337,792.605779443081,463.223072524752,373.228280794744
10,4,0,389.377498648337,917.432001256398,124.826221813317,528.054502608061
10,14,0,443.377498648337,1040.1996328541,122.767631597699,596.82213420576
10,7,0,618.728735787295,1606.73734141701,566.537708562915,988.008605629717
10,9,0,630.728735787295,1866.49145815116,259.754116734153,1235.76272236387
10,2,0,2658.07360741835,3117.21914775522,1250.72768960405,459.145540336868
10,12,0,2869.42484455731,3145.76496970682,28.5458219516004,276.340125149511
10,20,0,2542.72237027939,5007.10832879286,1861.34335908605,2464.38595851347
10,11,1,5151.60738898949,5400.36800774586,393.259678952998,248.760618756369
11,14,0,398,597.934219727973,597.934219727973,199.934219727973
11,4,1,989.219834710005,1296.12834831844,698.194128590467,306.908513608435
11,1,1,1685.8443895918,2043.33029868266,747.201950364216,357.485909090853
11,5,0,3398.91846486501,4320.61515441033,2277.28485572767,921.696689545318
11,7,1,4201.10027000639,4580.93951947779,260.324365067464,379.839249471399
11,15,1,4707.61464510931,4899.63578960536,318.696270127564,192.021144496047
11,17,1,5692.89058956848,5846.6159443604,946.980154755045,153.725354791918
11,19,1,6050.91417417796,6188.49163411782,341.875689757414,137.577459939854
11,2,1,5984.91417417796,6403.784748367,215.293114249179,418.870574189033
11,20,1,6551.2771570977,6702.15040674168,298.365658374685,150.873249643982
11,8,1,6503.2771570977,6895.41939948372,193.268992742034,392.142242386017
11,16,1,7140.21949428826,7393.97228637097,498.552886887258,253.752792082717
11,10,1,7116.21949428826,7598.82666995369,204.854383582713,482.60717566543
11,12,1,7128.21949428826,7753.75624530473,154.92957535104,625.53675101647
12,7,0,356,734.542529442652,734.542529442652,378.542529442652
12,13,0,392,880.213858057939,145.671328615287,488.213858057939
12,15,0,1670.69359891142,1912.74842930297,1032.53457124503,242.054830391547
12,11,0,1652.69359891142,2108.53748024171,195.789050938741,455.843881330288
12,19,1,2540.25808258872,2812.57501678889,704.037536547186,272.316934200176
12,12,0,1453.34236177246,3511.4780927199,698.903075931007,2058.13573094744
12,14,1,4055.06929425568,4204.64675419553,693.168661475628,149.577459939854
12,5,1,4025.06929425568,4243.55227597714,38.9055217816067,218.48298172146
12,4,1,4651.05487532665,4809.63958835927,566.087312382132,158.584713032616
12,17,0,416,5375.67212573882,566.032537379552,4959.67212573882
12,9,0,585.351237138958,5758.07973166243,382.407605923615,5172.72849452348
12,18,1,5235.79033802639,5949.29434928872,191.214617626283,713.504011262326
12,1,1,6341.67512196221,6580.28784586652,630.9934965778,238.612723904304
12,10,0,3009.21478866133,6853.17752999072,272.889684124206,3843.96274132939
13,14,0,83,371.452798897173,371.452798897173,288.452798897173
13,19,0,505.996714762854,764.035989582124,392.583190684951,258.03927481927
13,12,0,963.092235900954,1423.69084832166,659.654858739535,460.598612420705
13,10,1,1859.15977267801,2036.88512746993,613.194279148269,177.725354791918
13,20,0,2821.68144015356,2979.38684606978,942.501718599853,157.705405916224
13,6,1,3145.94116347011,3447.2172241375,467.830378067722,301.276060667389
13,18,0,3199.94116347011,3577.10877471306,129.891550575553,377.167611242942
13,8,0,3504.36833429859,3791.82919231398,214.720417600922,287.460858015392
13,13,0,969.092235900954,5570.03215892986,1778.20296661589,4600.93992302891
13,3,1,3480.36833429859,6228.17468297784,658.142524047973,2747.80634867925
14,3,0,17,362.756548185262,362.756548185262,345.756548185262
