Trial,Channel,IsDirectional,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
11,3,1,1022.95495151744,7984.84634212147,175.318654544938,6961.89139060403
12,17,1,101,366.752792082717,366.752792082717,265.752792082717
12,16,0,95,615.927780590869,249.174988508152,520.927780590869
12,9,1,445.151768806433,864.347251065693,248.419470474824,419.19548225926
12,8,0,1002.61295516153,1213.83345239216,349.486201326466,211.220497230632
12,20,1,1374.51262582519,1505.09008576504,291.25663337288,130.577459939854
12,2,1,1290.51262582519,1697.9726404816,192.882554716564,407.460014656418
12,15,1,2431.80593425621,2709.60661002674,1011.63396954514,277.800675770532
12,1,1,2787.20252771179,3081.20643224436,371.599822217622,294.003904532568
12,10,1,451.151768806433,4902.51051634716,1821.3040841028,4451.35874754072
12,3,1,17,5634.50408556706,731.993569219899,5617.50408556706
12,11,1,2829.20252771179,6970.20817775114,1335.70409218408,4141.00565003935
12,19,1,113,7046.75475856133,76.5465808101935,6933.75475856133
13,9,1,53,260.725354791918,260.725354791918,207.725354791918
13,2,1,11,2175.08985907879,1914.36450428687,2164.08985907879
13,11,1,2287.843719867,2609.92286109313,434.83300201434,322.079141226126
13,12,1,2769.65840145557,2927.21627675082,317.293415657697,157.557875295251
13,5,1,399.114650142227,3055.8303123143,128.614035563476,2656.71566217207
13,10,1,423.114650142227,3211.57346333082,155.74315101652,2788.45881318859
13,8,1,4123.88992873536,4498.97377448665,1287.40031115583,375.083845751296
13,7,1,1685.22207297597,5067.21809388857,568.244319401918,3381.9960209126
13,17,1,3331.65290579592,6984.80327491722,1917.58518102865,3653.15036912131
13,14,0,83,7388.83494407847,404.031669161245,7305.83494407847
13,3,1,604.465887281185,7521.1803216709,132.345377592436,6916.71443438972
14,3,0,17,235.993989567823,235.993989567823,218.993989567823
14,1,0,5,372.067497995194,136.073508427371,367.067497995194
14,16,0,682.216218018958,929.033806877395,556.966308882201,246.817588858436
14,13,0,2786.86399061804,3033.89466061117,2104.86085373377,247.030669993128
14,19,0,2720.86399061804,3652.10214438847,618.2074837773,931.238153770428
14,20,0,119,5024.92452776558,1372.82238337711,4905.92452776558
14,10,0,59,5740.07042106911,715.145893303531,5681.07042106911
14,15,0,89,5825.40546635507,85.3350452859595,5736.40546635507
14,11,0,65,6280.11751660343,454.712050248361,6215.11751660343
14,9,1,1880.6269676786,6358.37155644514,78.2540398417077,4477.74458876654
15,9,0,53,431.007147949328,431.007147949328,378.007147949328
15,4,1,23,829.05324763405,398.046099684721,806.05324763405
15,6,1,544.341915689674,961.319224170367,132.265976536317,416.977308480692
15,12,0,71,1213.88018062217,252.560956451808,1142.88018062217
15,19,0,2204.83143749709,2744.94617746029,1531.06599683811,540.114739963199
15,11,1,1676.67342220413,3290.12603878544,545.179861325152,1613.45261658131
15,13,0,77,3706.59171670289,416.465677917448,3629.59171670289
15,8,0,556.341915689674,4940.33987750911,1233.74816080622,4383.99796181943
15,17,0,604.341915689674,4972.31661219098,31.976734681878,4367.97469650131
15,10,1,5077.51671177923,5333.13989426676,360.823282075776,255.623182487529
15,14,0,586.341915689674,5402.72043613173,69.5805418649697,4816.37852044205
15,18,0,3898.63615839672,6360.79253823673,958.072102104998,2462.15637984001
15,16,0,2564.91044514357,6909.65839316612,548.86585492939,4344.74794802255
16,8,0,47,383.126766763927,383.126766763927,336.126766763927
16,4,1,23,1304.34705030755,921.220283543626,1281.34705030755
16,15,0,89,1622.36719875206,318.020148444503,1533.36719875206
16,7,0,41,1686.64321649969,64.2760177476343,1645.64321649969
16,3,0,17,2087.16701537685,400.523798877164,2070.16701537685
16,11,0,65,2697.69990889556,610.532893518704,2632.69990889556
16,13,0,77,2931.45985804562,233.759949150059,2854.45985804562
16,12,0,2425.1602795402,3241.70300714901,310.243149103392,816.54272760881
16,14,1,503.008505519824,6189.18329746394,2947.48029031493,5686.17479194412
16,19,1,1173.0622169367,6654.54891937909,465.365621915149,5481.48670244239
17,9,0,53,265.650985241713,265.650985241713,212.650985241713
17,1,0,390.732405843995,625.574072569281,359.923087327568,234.841666725286
17,14,0,462.732405843995,774.438063864227,148.863991294946,311.705658020232
17,7,0,426.732405843995,1318.46434996663,544.026286102404,891.731944122636
17,2,0,11,1629.69432247677,311.229972510136,1618.69432247677
17,17,0,101,1807.35250281148,177.658180334714,1706.35250281148
17,3,0,1873.71217668707,2220.45283178745,413.100328975967,346.740655100384
17,20,0,119,2835.51389783191,615.061066044459,2716.51389783191
17,15,1,3972.45807478898,4247.36797346777,1411.85407563586,274.909898678784
17,4,0,2528.5386256359,4667.7041258364,420.336152368629,2139.1655002005
17,6,0,2540.5386256359,4757.14288782933,89.4387619929375,2216.60426219344
17,18,0,1559.83840586923,5929.95994062385,1172.81705279452,4370.12153475462
18,6,1,35,380.35318173015,380.35318173015,345.35318173015
18,15,1,89,856.791943295458,476.438761565308,767.791943295458
18,19,1,1248.06807204091,1985.04806361759,1128.25612032213,736.979991576678
