Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
15,base,,15,1,15,6900.86190507526,460.057460338351,0.125200208333333,1,4871.86190507526,270,1435,324,25,0,13,32,2899.22806771116,1972.6338373641,NaN,NaN
15,split,,15,1,15,6900.86190507526,460.057460338351,0.126377291666667,1,4871.86190507526,270,1435,324,25,0,13,32,2899.22806771116,1972.6338373641,1,0
16,base,,15,3,15,7351.9253880783,490.12835920522,0.136580083333333,1,4928.9253880783,350,1875,198,25,0,6,38,3000.10151046766,1928.82387761064,NaN,NaN
16,split,,15,3,15,7170.8824751504,478.058831676693,0.134297375,1,4764.8824751504,349,1865,192,25,0,6,36,3003.15875710837,1761.72371804203,2,0
17,base,,15,6,15,7067.18719937093,471.145813291395,0.128322916666667,1,4859.18719937093,298,1595,315,25,0,10,27,2808.66186907676,2050.52533029418,NaN,NaN
17,split,,15,6,15,7057.18415432539,470.478943621693,0.135412083333333,1,4859.18415432539,296,1590,312,25,0,10,26,2808.97910779893,2050.20504652646,4,0
18,base,,12,7,12,7685.54871997661,640.462393331384,0.125822083333333,1,5199.54871997661,339,1805,342,25,0,10,18,3602.39223417448,1597.15648580213,NaN,NaN
18,split,,12,7,12,7725.30305092708,643.775254243924,0.131086458333333,1,5254.30305092708,340,1810,321,25,0,10,18,3602.39223417448,1651.9108167526,5,1
19,base,,15,11,15,7901.35030766524,526.756687177683,0.128831125,1,5601.35030766525,306,1655,339,25,0,12,23,2676.51761711525,2924.83269055,NaN,NaN
19,split,,15,11,15,7891.21897576279,526.081265050853,0.125376875,1,5601.21897576279,304,1650,336,25,0,12,22,2676.5107608461,2924.70821491669,7,0
20,base,,13,4,13,6793.42308653921,522.571006656862,0.129433791666667,1,4589.42308653921,314,1675,215,25,0,8,26,3295.43312616016,1293.98996037905,NaN,NaN
20,split,,13,4,13,6722.94342698589,517.14949438353,0.125523208333333,1,4528.9434269859,312,1670,212,25,0,8,25,3296.5707109032,1232.37271608269,3,0
21,base,,14,7,14,7077.57443115449,505.541030796749,0.125175708333333,1,4822.57443115449,302,1625,328,25,0,9,25,3014.37738047879,1808.1970506757,NaN,NaN
21,split,,14,7,14,7028.68664834293,502.049046310209,0.1278215,1,4821.68664834293,301,1620,286,25,0,8,24,3012.44876415443,1809.2378841885,5,0
22,base,,10,2,10,6801.11270586033,680.111270586033,0.126338666666667,1,4464.11270586033,337,1785,215,25,0,8,18,3228.61988817258,1235.49281768775,NaN,NaN
22,split,,10,2,10,6801.11270586033,680.111270586033,0.132730666666667,1,4464.11270586033,337,1785,215,25,0,8,18,3228.61988817258,1235.49281768775,2,0
