Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
10,base,,15,5,15,7368.19628831522,491.213085887682,0.164135791666667,1,5308.19628831522,285,1535,240,25,0,7,55,3124.90509735948,2183.29119095574,NaN,NaN
10,split,,15,5,15,7146.55001325707,476.436667550471,0.1407775,1,5143.55001325707,284,1530,189,25,0,6,54,3126.1756142397,2017.37439901737,2,0
11,base,,16,15,16,8005.14771062818,500.321731914261,0.147458166666667,1,5570.14771062819,331,1805,299,23,0,10,51,3001.23612056893,2568.91159005925,NaN,NaN
11,split,,16,15,16,8072.77945041979,504.548715651237,0.15761725,1,5671.7794504198,331,1810,260,23,0,9,51,2999.77224642296,2672.00720399684,10,1
12,base,,12,10,12,6649.34853252857,554.112377710714,0.141729541666667,1,4452.34853252857,319,1710,168,25,0,6,36,3023.78932769625,1428.55920483232,NaN,NaN
12,split,,12,10,12,6620.03344911711,551.669454093092,0.133576458333333,1,4452.03344911711,316,1705,147,25,0,5,35,3025.73058359806,1426.30286551905,3,0
13,base,,11,10,11,7094.64378643386,644.967616948533,0.164420541666667,1,4846.64378643386,319,1715,214,25,0,8,28,3155.6701862897,1690.97360014416,NaN,NaN
13,split,,11,10,11,7081.19307638336,643.74482512576,0.149840833333333,1,4848.19307638336,319,1715,199,25,0,7,28,3155.91967714424,1692.27339923912,3,0
14,base,,10,1,10,6410.07524011008,641.007524011008,0.150823333333333,1,4146.07524011008,326,1750,188,25,0,4,34,3066.42250600485,1079.65273410523,NaN,NaN
14,split,,10,1,10,6319.41511926706,631.941511926706,0.164578791666667,1,4124.41511926706,326,1750,119,25,0,2,34,3065.81982729203,1058.59529197503,0,0
15,base,,13,4,13,7028.95194749632,540.688611345871,0.15356025,1,4877.95194749632,315,1690,146,25,0,4,49,3083.3097530355,1794.64219446082,NaN,NaN
15,split,,13,4,13,7021.13919178589,540.087630137377,0.165179208333333,1,4878.13919178589,315,1685,143,25,0,4,48,3083.62638775273,1794.51280403317,2,0
16,base,,10,3,10,6662.54748895032,666.254748895032,0.137390916666667,1,4350.54748895032,341,1825,146,25,0,4,41,3377.35150103576,973.195987914553,NaN,NaN
